id,name,reitDollarsInvestedInElement,reitName,reitId,strategy,reitName.1,coverPhotoUrl,thumbnailUrl,status,projectType,address,city,state,zip,lat,lon,submarket,structure,realizedReturn,totalSize,acquisitionDate,exitDate,blendedReturnProjection,annualInterestRate,projectedReturnLowerBound,projectedReturnUpperBound,returnRateType,riskScore,rating,inScopeForInvestorSubmissions,market,geoJson
1,2-Unit Luxury Condo Development,1990000.0,Income Real Estate Fund,25,"{'description': 'Provide real estate backed loans or similar financing', 'id': '1', 'name': 'Fixed Income', 'urlSlug': 'fixed-income'}",Income Real Estate Fund,images/reit-elements/1/56fbc00b-fc66-44ca-b5fa-d860fda42f25.jpg,images/reit-elements/1/abf6f41a-8977-4775-88a0-030ee18e086e.jpg,REDEEMED,Single-family rental,10-18 47th Ave,Queens,NY,11101,40.75,-73.95,Long Island City,Senior Debt,0.113,1990000,2015-12-15T00:00:00.000-05:00,2018-06-27T00:00:00.000-04:00,False,0.1,0.0,0.0,ANNUAL_INTEREST_RATE,10.0,"{'riskScore': '10', 'color': '#3FBFFF', 'letter': 'B', 'subletter': '2', 'full': 'B2'}",False,,
2,The Woodlands Luxury Townhomes,2000000.0,Income Real Estate Fund,25,"{'description': 'Provide real estate backed loans or similar financing', 'id': '1', 'name': 'Fixed Income', 'urlSlug': 'fixed-income'}",Income Real Estate Fund,images/34626-se-swenson-dr/cover.jpg,images/reit-elements/2/96a6b1ac-088a-4ba9-9522-f79b90a6f995.jpg,REDEEMED,Multifamily,34626 SE Swenson Dr,Snoqualmie,WA,98065,47.52,-121.88,,Preferred Equity,0.111,2000000,2015-12-18T00:00:00.000-05:00,2018-07-05T00:00:00.000-04:00,False,0.115,0.0,0.0,ANNUAL_INTEREST_RATE,13.0,"{'riskScore': '13', 'color': '#FFC533', 'letter': 'C', 'subletter': '2', 'full': 'C2'}",False,"{'description': 'The capital of the Pacific Northwest is a tech mecca situated on a narrow strip of land. Scarcity of real estate combined with massive wealth creation has driven nation-leading price appreciation, and opportunities for smart investors.', 'name': 'Seattle', 'thumbnailUrl': 'images/market-thumbnails/ef9e4aa8-cd4b-4dfc-b05a-ca153142e25d.jpg', 'urlSlug': 'seattle'}",
3,11-Unit Phoenix Multifamily Rehabilitation,837000.0,Income Real Estate Fund,25,"{'description': 'Provide real estate backed loans or similar financing', 'id': '1', 'name': 'Fixed Income', 'urlSlug': 'fixed-income'}",Income Real Estate Fund,images/4128-n-22nd-st/casa-bravo-cover.jpg,images/reit-elements/3/db132b06-008d-4456-8ab2-c45b94176624.jpg,REDEEMED,Multifamily,4128 N 22nd Street,Phoenix,AZ,85016,33.5,-112.04,,Senior Debt,0.1,837000,2015-12-30T00:00:00.000-05:00,2016-06-14T00:00:00.000-04:00,False,0.13,0.0,0.0,ANNUAL_INTEREST_RATE,9.0,"{'riskScore': '9', 'color': '#3F9FFF', 'letter': 'B', 'subletter': '1', 'full': 'B1'}",False,,
4,"Richland, WA Stabilized Multifamily Recapitalization",2000000.0,Income Real Estate Fund,25,"{'description': 'Provide real estate backed loans or similar financing', 'id': '1', 'name': 'Fixed Income', 'urlSlug': 'fixed-income'}",Income Real Estate Fund,images/3003-queensgate-drive/cover.jpg,images/reit-elements/4/18d44123-1851-44c7-9a7a-4ae74bb15909.jpg,REDEEMED,Multifamily,3003 Queensgate Dr,Richland,WA,99352,46.26,-119.31,,Preferred Equity,0.12,2000000,2016-01-07T00:00:00.000-05:00,2019-03-29T00:00:00.000-04:00,False,0.12,0.0,0.0,ANNUAL_INTEREST_RATE,15.0,"{'riskScore': '15', 'color': '#FF884C', 'letter': 'D', 'subletter': '1', 'full': 'D1'}",False,,
5,Ace Hotel Pittsburgh,2275000.0,Income Real Estate Fund,25,"{'description': 'Provide real estate backed loans or similar financing', 'id': '1', 'name': 'Fixed Income', 'urlSlug': 'fixed-income'}",Income Real Estate Fund,images/ace-hotel/cover-2.jpg,images/reit-elements/5/8e1c02b3-1dfd-41c0-9729-c674aa51f916.jpg,ACTIVE,Other,120 S Whitfield St,Pittsburgh,PA,15206,40.461315,-79.926354,,Senior Debt,0.0,2275000,2015-12-15T00:00:00.000-05:00,,False,0.0,0.0,0.0,NO_RETURN_PROJECTION,12.0,"{'riskScore': '12', 'color': '#ACE639', 'letter': 'C', 'subletter': '1', 'full': 'C1'}",False,,
6,Atlanta Value-Add Retail Conversion,5510000.0,Income Real Estate Fund,25,"{'description': 'Provide real estate backed loans or similar financing', 'id': '1', 'name': 'Fixed Income', 'urlSlug': 'fixed-income'}",Income Real Estate Fund,images/1429-fairmont-ave/cover-photo.jpg,images/reit-elements/6/ba1c05fc-1eb7-45c7-94bc-471226c501cf.jpg,REDEEMED,Other,1429 Fairmont Ave NW,Atlanta,GA,30318,33.79,-84.42,,Preferred Equity,0.12,5510000,2016-01-20T00:00:00.000-05:00,2017-01-19T00:00:00.000-05:00,False,0.11,0.0,0.0,ANNUAL_INTEREST_RATE,9.0,"{'riskScore': '9', 'color': '#3F9FFF', 'letter': 'B', 'subletter': '1', 'full': 'B1'}",False,"{'description': 'From Atlanta to Phoenix, cities in the southern third of the United States are growing faster than their northern counterparts, which is driving strong and continued demand for real estate.', 'name': 'The Sunbelt', 'thumbnailUrl': 'images/market-thumbnails/0f7c9c6c-13b3-474b-b9c1-6a14bb3420cd.png', 'urlSlug': 'sunbelt'}",
7,3-Unit New York Condo Construction,3177000.0,Income Real Estate Fund,25,"{'description': 'Provide real estate backed loans or similar financing', 'id': '1', 'name': 'Fixed Income', 'urlSlug': 'fixed-income'}",Income Real Estate Fund,images/10-27-47th-rd/3-unit-ground-up-cover.jpg,images/reit-elements/7/9e460588-eff5-47e2-b8fb-54b55bc7faec.jpg,REDEEMED,Single-family rental,10-27 47th Rd,Queens,NY,11101,40.74,-73.95,Long Island City,Senior Debt,0.108,3177000,2016-01-27T00:00:00.000-05:00,2018-05-04T00:00:00.000-04:00,False,0.14,0.0,0.0,ANNUAL_INTEREST_RATE,12.0,"{'riskScore': '12', 'color': '#ACE639', 'letter': 'C', 'subletter': '1', 'full': 'C1'}",False,,
8,Los Angeles Cash-Flowing Acquisition Loan,4900000.0,Income Real Estate Fund,25,"{'description': 'Provide real estate backed loans or similar financing', 'id': '1', 'name': 'Fixed Income', 'urlSlug': 'fixed-income'}",Income Real Estate Fund,images/6569-van-nuys-blvd/6569-van-nuys-blvd-cover.jpg,images/reit-elements/8/72ed3a51-1239-43e7-8cdd-62bb36474bbb.jpg,REDEEMED,Multifamily,6569 Van Nuys Blvd,Van Nuys,CA,91401,34.19,-118.45,,Senior Debt,0.11,4900000,2016-02-11T00:00:00.000-05:00,2016-12-22T00:00:00.000-05:00,False,0.11,0.0,0.0,ANNUAL_INTEREST_RATE,8.0,"{'riskScore': '8', 'color': '#737EFF', 'letter': 'A', 'subletter': '3', 'full': 'A3'}",False,"{'description': 'The City of Angels boasts the nationÂs second-largest economy Â and a massive housing shortage. For those who can navigate the complexities of building new homes in LA, opportunities to earn outsized returns abound.', 'name': 'Los Angeles', 'thumbnailUrl': 'images/market-thumbnails/24e9b459-f3a8-425c-84ce-21225a12cb64.jpg', 'urlSlug': 'los-angeles'}",
9,The Grove at Trinity Pointe,3750000.0,Income Real Estate Fund,25,"{'description': 'Provide real estate backed loans or similar financing', 'id': '1', 'name': 'Fixed Income', 'urlSlug': 'fixed-income'}",Income Real Estate Fund,images/reit-elements/9/cd515004-9ab7-4644-b40b-b867563f0cd0.jpg,images/reit-elements/9/31360dc7-a6d3-44c4-a0c1-311df660a1b6.jpg,REDEEMED,Multifamily,555 Wood Arbor Pkwy,Cordova,TN,38018,35.14113,-89.792558,,Preferred Equity,0.119,3750000,2016-03-02T00:00:00.000-05:00,2021-05-25T00:00:00.000-04:00,False,0.115,0.0,0.0,ANNUAL_INTEREST_RATE,14.0,"{'riskScore': '14', 'color': '#FFAF40', 'letter': 'C', 'subletter': '3', 'full': 'C3'}",False,"{'description': 'From Atlanta to Phoenix, cities in the southern third of the United States are growing faster than their northern counterparts, which is driving strong and continued demand for real estate.', 'name': 'The Sunbelt', 'thumbnailUrl': 'images/market-thumbnails/0f7c9c6c-13b3-474b-b9c1-6a14bb3420cd.png', 'urlSlug': 'sunbelt'}",
10,Los Angeles Arts District Acquisition Loan,7315000.0,Income Real Estate Fund,25,"{'description': 'Provide real estate backed loans or similar financing', 'id': '1', 'name': 'Fixed Income', 'urlSlug': 'fixed-income'}",Income Real Estate Fund,images/647-mateo-st/cover-photo.jpg,images/reit-elements/10/31cdfe4b-9ec6-4106-97c2-76a8a891e52a.jpg,REDEEMED,Other,647 Mateo St,Los Angeles,CA,90021,34.04,-118.23,,Senior Debt,0.08,7315000,2016-04-06T00:00:00.000-04:00,2017-09-20T00:00:00.000-04:00,False,0.08,0.0,0.0,ANNUAL_INTEREST_RATE,10.0,"{'riskScore': '10', 'color': '#3FBFFF', 'letter': 'B', 'subletter': '2', 'full': 'B2'}",False,,
